TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,9,SNORFIETS,TOMOS,MEERKLEURIG,A3
MAASHAVEN,ROTTERDAM,9,BROMFIETS,PEUGEOT,ONBEKEND,LUDIX
HELLEVOETSLUIS,HELLEVOETSLUIS,11,BROMFIETS,PIAGGIO,MEERKLEURIG,ZIP RST 45 KM
SPIJKENISSE,SPIJKENISSE,10,BROMFIETS,VESPA,GRIJS,SFERA
CROOSWIJK,ROTTERDAM,9,NULL,NULL,NULL,NULL
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,12,FIETS,BATAVUS,BLAUW,HOLIDAY
SPIJKENISSE,SPIJKENISSE,12,FIETS,GAZELLE,GROEN,AVIGNON NR 57
SPIJKENISSE,SPIJKENISSE,12,FIETS,BATAVUS,CHROOMKLEURIG,NULL
MARCONIPLEIN,ROTTERDAM,12,FIETS,GAZELLE,GROEN,0
SPIJKENISSE,SPIJKENISSE,1,FIETS,GIANT,ZILVERKLEURIG,COSMO CS1 LDS L
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,BROMFIETS,GILERA,MEERKLEURIG,C36
CAPELLE,CAPELLE AAN DEN IJSSEL,1,BROMFIETS,SYM,MEERKLEURIG,AV05W
CROOSWIJK,ROTTERDAM,11,FIETS,SPARTA,GRIJS,ION
ROZENBURG,ROZENBURG ZH,1,FIETS,GIANT,GRIJS,METRO CS3 GTS X
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,ONBEKEND,MONTREUX L.E.
SPIJKENISSE,SPIJKENISSE,12,FIETS,BATAVUS,ONBEKEND,GREENPARKS LN8
ALEXANDER ZUID,ROTTERDAM,1,FIETS,POINTER,ZWART,ROADBIKE
ALEXANDER ZUID,ROTTERDAM,1,FIETS,ALTRA,CHROOMKLEURIG,CYBER
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,BEIGE,0
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ONBEKEND,CHAMONIX EXCEL
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,LIMIT CLASSIC,ZWART,NO FUSS
ALEXANDER NOORD,ROTTERDAM,1,BROMFIETS,ONBEKEND,ROOD,0
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,1,FIETS,HEMA,ZWART,NULL
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,CAPRI,GRIJS,0
MAASSLUIS,MAASSLUIS,12,FIETS,SPARTA,ONBEKEND,0
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,CHAMONIX EXCEL
BARENDRECHT,BARENDRECHT,12,FIETS,GAZELLE,GRIJS,ORANGE LIM
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,ONBEKEND,ZWART,KLEVE VALENCIA
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE PLUS ORA
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,12,FIETS,BATAVUS,GROEN,WINNER
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ONBEKEND,CHAM PLUS  VV
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,GAZELLE,GRIJS,CHAMONIX EXCELL
ALEXANDER NOORD,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,AMBIANCE TROMM.
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,BATAVUS,MEERKLEURIG,0
ALEXANDER ZUID,ROTTERDAM,1,FIETS,UNION,BLAUW,QUADRA
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,GIANT,CHROOMKLEURIG,URBAN
SPIJKENISSE,HEKELINGEN,1,SCOOTER,YAMAHA,ONBEKEND,SA22
SCHIEDAM,SCHIEDAM,1,COMMUNICATIEAP,SAMSUNG,ZWART,I9000
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,LOCOMOTIEF,BLAUW,POPULAIR
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,BROMFIETS,HYOSUNG,ROOD,0
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,MONTEGO,BLAUW,ACTO D53 N3
SPIJKENISSE,SPIJKENISSE,1,FIETS,RIH COVE,BLAUW,SILVERSTINE
KRALINGEN,ROTTERDAM,1,FIETS,GIANT,MEERKLEURIG,AUCKLAND
ROZENBURG,ROZENBURG ZH,1,FIETS,GAZELLE,WIT,CHAMONIX PLUS
VLAARDINGEN,VLAARDINGEN,12,FIETS,GIANT,ONBEKEND,EXPLORER 21 GTS
MAASSLUIS,MAASSLUIS,1,FIETS,GAZELLE,ZILVERKLEURIG,INNERGY
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,GRIJS,CHAMONIX PRIM.D
ALEXANDER NOORD,ROTTERDAM,12,FIETS,GAZELLE,PAARS,0
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,CAPRI,ZILVERKLEURIG,VICTORIA
NW WESTEN/MIDDELLAND,ROTTERDAM,12,FIETS,RALEIGH,ZILVERKLEURIG,WORKER
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,LIMIT CLASSIC,ZWART,CLASSIC OMA 28
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,MEDEO XTRA V-BR
ALEXANDER NOORD,ROTTERDAM,1,FIETS,SPARTA,ONBEKEND,ATHOS H60 N3 NI
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,VAN SPEIJK,WIT,MERWEDE
VLAARDINGEN,VLAARDINGEN,1,FIETS,SPARTA,ZWART,AMAZONE TRENDY
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,ONBEKEND,BLAUW,0
MAASSLUIS,MAASSLUIS,1,BROMFIETS,GILERA,MEERKLEURIG,GILERA RUNNER 4
RIDDERKERK,RIDDERKERK,1,FIETS,BATAVUS,MEERKLEURIG,GREENPARK
VLAARDINGEN,VLAARDINGEN,1,BROMFIETS,PIAGGIO,ONBEKEND,BRAVO
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,BATAVUS,ONBEKEND,DIVA DN3 WIT
SCHIEDAM,SCHIEDAM,1,BROMFIETS,PIAGGIO,ROOD,C38
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,BROMFIETS,YIYING,ONBEKEND,50RETRO
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,SPARTA,ZILVERKLEURIG,ION L  TR. DLI5
LANSINGERLAND,BERKEL EN RODENRIJS,1,FIETS,GIANT,BLAUW,AMBITION
ALEXANDER NOORD,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,PRIMEUR TROMM.K
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,WILIER,BLAUW,ESCAPE TEAM LAM
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE PLUS 57
CAPELLE,CAPELLE AAN DEN IJSSEL,1,BROMFIETS,PIAGGIO,ONBEKEND,C25
OVERSCHIE,ROTTERDAM,1,FIETS,BATAVUS,WIT,0
SCHIEDAM,SCHIEDAM,12,BROMFIETS,TOMOS,MEERKLEURIG,S25/2
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,GAZELLE,WIT,BLOOM
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,DAMES
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,GIANT,ONBEKEND,METRO CS 4 GTS
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,CHAMONIX EXCEL
ALEXANDER ZUID,ROTTERDAM,11,FIETS,EDWARDS,ZWART,NULL
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,GIANT,ZILVERKLEURIG,COSMO RS1 GTS C
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GAZELLE,BLAUW,ORANGE PLUS VV
MAASSLUIS,MAASSLUIS,1,BROMFIETS,ONBEKEND,BLAUW,0
HELLEVOETSLUIS,HELLEVOETSLUIS,1,BROMFIETS,PIAGGIO,WIT,C25
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,GAZELLE,ONBEKEND,ARTMAP01 TOEGEV
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,0
BARENDRECHT,BARENDRECHT,1,FIETS,BATAVUS,ONBEKEND,0
BINNENROTTE/OUDE HAVEN,ROTTERDAM,12,FIETS,RANGER,ZWART,28 INCH
ALEXANDER ZUID,ROTTERDAM,11,BROMFIETS,PIAGGIO,ONBEKEND,0
SPIJKENISSE,SPIJKENISSE,1,BROMFIETS,YAMAHA,BLAUW,YN50
CAPELLE,CAPELLE AAN DEN IJSSEL,1,BROMFIETS,KYMCO,ONBEKEND,S1
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,GAZELLE,BLAUW,ESPRIT OASE/PLA
RIDDERKERK,RIDDERKERK,1,FIETS,SPARTA,BLAUW,0
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,SNORFIETS,TOMOS,BLAUW,A3
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,RETRO DN3 DONKE
STAD,ROTTERDAM,1,FIETS,CUBE,ZWART,CURVE
SPIJKENISSE,SPIJKENISSE,1,FIETS,CUMBERLAND,MEERKLEURIG,LEVEL 26"
SPIJKENISSE,SPIJKENISSE,1,FIETS,TOEVOEGEN,ZWART,NULL
SCHIEDAM,SCHIEDAM,1,FIETS,SPARTA,GROEN,SCOUT
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,KAPTEIN,ZWART,OMAFIETS
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,GAYTANY,ZWART,TURBO 006
MAASSLUIS,MAASSLUIS,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE EXTRA 08
BARENDRECHT,BARENDRECHT,1,FIETS,LIMIT,BLAUW,LIMIT STORM
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,BROMFIETS,HUATIAN,ORANJE,HT50QT-25
VLAARDINGEN,VLAARDINGEN,1,FIETS,MAXWELL,ZWART,NEW ORLEANS
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,BROMFIETS,PEUGEOT,ZWART,VCLIC
VLAARDINGEN,VLAARDINGEN,1,FIETS,GIANT,GRIJS,CANBERRA DS 7
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,GROEN,DAVOS
MAASSLUIS,MAASSLUIS,1,FIETS,LIMIT,ZWART,TRANSPORT 9
MAASSLUIS,MAASSLUIS,12,BROMFIETS,PIAGGIO,ZWART,C25
SCHIEDAM,SCHIEDAM,1,FIETS,GIANT,GROEN,METRO CS3 LDS L
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,GAZELLE,ONBEKEND,CHAMONIX EXCEL
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,SPARTA,GRIJS,ATOS
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,BATAVUS,ZILVERKLEURIG,WEEKEND-D N8 Q.
LANSINGERLAND,BERGSCHENHOEK,1,FIETS,BATAVUS,BLAUW,LIVE
SCHIEDAM,SCHIEDAM,1,FIETS,GIANT,BLAUW,COSMO
RIDDERKERK,RIDDERKERK,1,FIETS,BATAVUS,ZWART,EXPLORER
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,WEEKEND XN8 DIM
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,UNION,BEIGE,HYDRA D57
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,WEEKEND H61 N8
STAD,ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,P.BIKE-SPEC.DEL
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,FIETS,GAZELLE,GRIJS,NULL
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,MEDEO
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,FIETS,UNION,BLAUW,0
OUDE WESTEN,ROTTERDAM,1,FIETS,0,GRIJS,0
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,BATAVUS,ONBEKEND,GREENPARKS
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ONBEKEND,CHAM EXCE VV
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,CHAM INNERGY
