2007306039-2,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,9,TOMOS,MEERKLEURIG
2008299823-4,MAASHAVEN,9,PEUGEOT,ONBEKEND
2008358886-3,HELLEVOETSLUIS,11,PIAGGIO,MEERKLEURIG
2010055395-7,SPIJKENISSE,10,VESPA,GRIJS
2010244584-1,CROOSWIJK,9,NULL,NULL
2011000409-1,WALENBURGERWEG/OUDE NOORDEN,12,BATAVUS,BLAUW
2011000412-1,SPIJKENISSE,12,GAZELLE,GROEN
2011000416-1,SPIJKENISSE,12,BATAVUS,CHROOMKLEURIG
2011000627-1,MARCONIPLEIN,12,GAZELLE,GROEN
2011000878-1,SPIJKENISSE,1,GIANT,ZILVERKLEURIG
2011000909-1,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,1,GILERA,MEERKLEURIG
2011001350-1,CAPELLE,1,SYM,MEERKLEURIG
2011001578-1,CROOSWIJK,11,SPARTA,GRIJS
2011001712-1,ROZENBURG,1,GIANT,GRIJS
2011001993-1,RIDDERKERK,1,GAZELLE,ONBEKEND
2011002387-1,SPIJKENISSE,12,BATAVUS,ONBEKEND
2011002716-1,ALEXANDER ZUID,1,POINTER,ZWART
2011002738-1,ALEXANDER ZUID,1,ALTRA,CHROOMKLEURIG
2011002842-1,HOOGVLIET/PERNIS,1,GAZELLE,BEIGE
2011002853-1,BARENDRECHT,1,GAZELLE,ONBEKEND
2011003073-1,BINNENROTTE/OUDE HAVEN,1,LIMIT CLASSIC,ZWART
2011003112-1,ALEXANDER NOORD,1,ONBEKEND,ROOD
2011003122-1,SCHEEPVAARTKWARTIER/COOL,1,HEMA,ZWART
2011003276-1,HOOGVLIET/PERNIS,1,CAPRI,GRIJS
2011003354-1,MAASSLUIS,12,SPARTA,ONBEKEND
2011003391-1,BARENDRECHT,1,GAZELLE,ZILVERKLEURIG
2011003457-1,BARENDRECHT,12,GAZELLE,GRIJS
2011003493-1,BINNENROTTE/OUDE HAVEN,1,ONBEKEND,ZWART
2011003588-1,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,1,GAZELLE,ZILVERKLEURIG
2011003664-1,WALENBURGERWEG/OUDE NOORDEN,12,BATAVUS,GROEN
2011004030-1,BARENDRECHT,1,GAZELLE,ONBEKEND
2011004338-1,HELLEVOETSLUIS,1,GAZELLE,GRIJS
2011004440-1,ALEXANDER NOORD,1,GAZELLE,ONBEKEND
